,name,ratings,no_of_ratings,discount_price,actual_price,brand,size,color,resolution,type
0,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),4.2,8877,12990.0,22900.0,SAMSUNG,32.0,BLACK,HD,Smart TV
1,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),4.2,34286,13999.0,24999.0,MI,32.0,BLACK,HD,Smart TV
2,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),4.2,47642,13999.0,24999.0,REDMI,32.0,BLACK,HD,Smart TV
3,OnePlus 138 cm (55 inches) Y Series 4K Ultra HD Smart Android LED TV 55Y1S Pro (Black),4.2,8290,38999.0,49999.0,ONEPLUS,55.0,BLACK,4K,Smart TV
4,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),4.2,36800,14999.0,19999.0,ONEPLUS,32.0,BLACK,HD,Smart TV
5,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),4.4,7943,10999.0,19990.0,ACER,32.0,BLACK,HD,Smart TV
6,Redmi 108 cm (43 inches) Android 11 Series Full HD Smart LED TV L43M6-RA/L43M7-RA (Black),4.2,47642,21999.0,34999.0,REDMI,43.0,BLACK,FULL HD,Smart TV
7,VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S (Black),4.0,7163,7999.0,16999.0,VW,32.0,BLACK,HD,Smart TV
8,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),4.3,7879,29990.0,47900.0,SAMSUNG,43.0,BLACK,4K,Smart TV
9,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),4.3,7879,28990.0,52900.0,SAMSUNG,43.0,BLACK,4K,Smart TV
10,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),4.3,12510,13990.0,21990.0,LG,32.0,GRAY,HD,Smart TV
11,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),4.2,8290,32999.0,45999.0,ONEPLUS,50.0,BLACK,4K,Smart TV
12,Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black),4.4,7943,29999.0,47990.0,ACER,55.0,BLACK,4K,Smart TV
13,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),4.3,4811,6999.0,12999.0,VW,32.0,BLACK,HD,LED TV
14,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),4.2,8290,29999.0,39999.0,ONEPLUS,43.0,BLACK,4K,Smart TV
15,Hisense 139 cm (55 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 55A6H (Black),4.1,1902,34999.0,59990.0,HISENSE,55.0,BLACK,4K,Smart TV
16,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),4.2,36800,15999.0,21999.0,ONEPLUS,32.0,BLACK,HD,Smart TV
17,TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6505 (Black),4.2,1308,16990.0,40990.0,TCL,40.0,BLACK,FULL HD,Smart TV
18,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),4.2,47642,26999.0,42999.0,REDMI,43.0,BLACK,4K,Smart TV
19,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),4.3,1658,30490.0,49990.0,LG,43.0,BLACK,4K,Smart TV
20,Acer 80 cm (32 inches) S Series HD Ready Android Smart LED TV AR32AR2841HDSB (Black),4.4,2687,11999.0,22990.0,ACER,32.0,BLACK,HD,Smart TV
21,iFFALCON 80 cm (32 inches) HD Ready Smart LED TV 32F53 (Black),4.2,1498,8999.0,27990.0,IFFALCON,32.0,BLACK,HD,Smart TV
